,thread_id,comprehension,understands_instructions,grasps_new_concepts,retains_information,attention,focus_duration,task_completion,follows_routines,participation,class_engagement,asks_questions,group_work,number_sense,problem_solving,mathematical_reasoning,calculation_accuracy,geometry_skills,scientific_inquiry,experimental_skills,data_interpretation,scientific_concepts,lab_work,reading_comprehension,writing_skills,grammar_usage,vocabulary,verbal_expression,historical_understanding,geographic_awareness,cultural_comprehension,current_events_knowledge,analysis_of_social_issues,creative_expression,technical_skills,visual_understanding,design_thinking
27,23728713-d4c3-41bd-9db7-4fcc293bb85e,1,1,0.0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
28,28289760-488e-497b-8ee1-973fd37928e8,2,2,2.0,2,1,1,1,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0
29,2ee0a2a7-d897-4b93-a226-e444c471b394,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
30,32daf8f8-77c7-4f7b-b0de-5e9c4a51ccad,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
31,339c9059-96bb-49c9-955e-30d7f6b5fb0c,0,0,0.0,0,1,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
32,34fd3b72-f63e-4758-aecb-1d53ab9e04a7,2,1,0.0,3,2,3,4,3,5,4,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,3.0
33,35aefff4-0aa0-4da1-b700-deb419486c5f,1,1,1.0,1,1,1,1,1,1,1,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
34,43fa96c9-de9d-45e9-a0de-28f568d6693c,2,3,3.0,3,3,3,3,3,3,3,2,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2,3,3,3,3,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0
35,459e52c8-8add-43f1-b5e9-49631032bd23,5,0,5.0,0,0,0,5,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
36,472bf874-fb77-49f3-a038-6658f3304d40,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
37,4d87dfbe-865c-4537-a1a8-9893ca922623,1,0,2.0,1,1,1,1,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1,3,3,4,2,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0
38,4e00dde3-f320-4257-85d5-031252e21565,3,0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,1.0
39,4ef70440-71b1-4de8-862a-a6192cf81d76,3,3,4.0,3,5,5,4,3,3,3,3,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3,2,2,2,4,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0
40,51da931f-20f2-4105-b1e4-29b170d1fdac,4,3,2.0,2,2,2,2,2,3,3,2,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3,2,2,2,4,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0
41,53b7358f-bfdb-4d48-88b0-a2b1307dbcb6,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
42,54a1ef93-2030-42ec-a37d-21556a712c01,3,4,2.0,3,3,3,3,2,2,2,2,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3,4,3,3,3,0.0,0.0,0.0,0.0,0.0,2,0.0,3.0,0.0
43,5b853963-2f63-424f-a421-a72ee1f19d5b,5,3,5.0,5,5,5,5,5,5,5,3,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,5,3,3,2,3,0.0,0.0,0.0,0.0,0.0,3,0.0,4.0,0.0
45,5e1e2eb9-0a36-403f-bde1-4d40f08e33fa,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
46,5c71fa3c-74e1-4b57-8aef-26ca0566e8e3,4,5,4.0,4,4,3,4,4,5,5,5,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4,3,2,3,3,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,4.0
47,ed1db203-7ec8-4de1-9be3-6acb3f8e82da,5,5,3.0,5,5,5,5,5,5,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,4,5,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0
